figure,panel,setup,source_type,energy_MeV,bw_mm,ctc_mm,depth_mm,depth_cm,FWHM_mm,source_file,notes
fig_fwhm_vs_energy,single_beam,PBP,single_beam,100,0.5,,0,0.0,0.5132457447163571,PBP_paperdataset/FWHM5/100MeV/FWHM_singlebeam_100MeV.txt,processed FWHM text file; depth spacing follows legacy plotting script
fig_fwhm_vs_energy,single_beam,PBP,single_beam,100,0.5,,3,0.3,0.5158331834479306,PBP_paperdataset/FWHM5/100MeV/FWHM_singlebeam_100MeV.txt,processed FWHM text file; depth spacing follows legacy plotting script
fig_fwhm_vs_energy,single_beam,PBP,single_beam,100,0.5,,6,0.6,0.5233361310562032,PBP_paperdataset/FWHM5/100MeV/FWHM_singlebeam_100MeV.txt,processed FWHM text file; depth spacing follows legacy plotting script
fig_fwhm_vs_energy,single_beam,PBP,single_beam,100,0.5,,9,0.9,0.5384597156774926,PBP_paperdataset/FWHM5/100MeV/FWHM_singlebeam_100MeV.txt,processed FWHM text file; depth spacing follows legacy plotting script
fig_fwhm_vs_energy,single_beam,PBP,single_beam,100,0.5,,12,1.2,0.5631088144597165,PBP_paperdataset/FWHM5/100MeV/FWHM_singlebeam_100MeV.txt,processed FWHM text file; depth spacing follows legacy plotting script
fig_fwhm_vs_energy,single_beam,PBP,single_beam,100,0.5,,15,1.5,0.5990079493846998,PBP_paperdataset/FWHM5/100MeV/FWHM_singlebeam_100MeV.txt,processed FWHM text file; depth spacing follows legacy plotting script
fig_fwhm_vs_energy,single_beam,PBP,single_beam,100,0.5,,18,1.8,0.6470427453225174,PBP_paperdataset/FWHM5/100MeV/FWHM_singlebeam_100MeV.txt,processed FWHM text file; depth spacing follows legacy plotting script
fig_fwhm_vs_energy,single_beam,PBP,single_beam,100,0.5,,21,2.1,0.7067704980364061,PBP_paperdataset/FWHM5/100MeV/FWHM_singlebeam_100MeV.txt,processed FWHM text file; depth spacing follows legacy plotting script
fig_fwhm_vs_energy,single_beam,PBP,single_beam,100,0.5,,24,2.4,0.7790258188582102,PBP_paperdataset/FWHM5/100MeV/FWHM_singlebeam_100MeV.txt,processed FWHM text file; depth spacing follows legacy plotting script
fig_fwhm_vs_energy,single_beam,PBP,single_beam,100,0.5,,27,2.7,0.8629188358771464,PBP_paperdataset/FWHM5/100MeV/FWHM_singlebeam_100MeV.txt,processed FWHM text file; depth spacing follows legacy plotting script
fig_fwhm_vs_energy,single_beam,PBP,single_beam,100,0.5,,30,3.0,0.9579025644534152,PBP_paperdataset/FWHM5/100MeV/FWHM_singlebeam_100MeV.txt,processed FWHM text file; depth spacing follows legacy plotting script
fig_fwhm_vs_energy,single_beam,PBP,single_beam,100,0.5,,33,3.3,1.0633030484095887,PBP_paperdataset/FWHM5/100MeV/FWHM_singlebeam_100MeV.txt,processed FWHM text file; depth spacing follows legacy plotting script
fig_fwhm_vs_energy,single_beam,PBP,single_beam,100,0.5,,36,3.6,1.1786239324062247,PBP_paperdataset/FWHM5/100MeV/FWHM_singlebeam_100MeV.txt,processed FWHM text file; depth spacing follows legacy plotting script
fig_fwhm_vs_energy,single_beam,PBP,single_beam,100,0.5,,39,3.9,1.3033398150364865,PBP_paperdataset/FWHM5/100MeV/FWHM_singlebeam_100MeV.txt,processed FWHM text file; depth spacing follows legacy plotting script
fig_fwhm_vs_energy,single_beam,PBP,single_beam,100,0.5,,42,4.2,1.4365147287629403,PBP_paperdataset/FWHM5/100MeV/FWHM_singlebeam_100MeV.txt,processed FWHM text file; depth spacing follows legacy plotting script
fig_fwhm_vs_energy,single_beam,PBP,single_beam,100,0.5,,45,4.5,1.578674297970399,PBP_paperdataset/FWHM5/100MeV/FWHM_singlebeam_100MeV.txt,processed FWHM text file; depth spacing follows legacy plotting script
fig_fwhm_vs_energy,single_beam,PBP,single_beam,100,0.5,,48,4.8,1.7279588573181472,PBP_paperdataset/FWHM5/100MeV/FWHM_singlebeam_100MeV.txt,processed FWHM text file; depth spacing follows legacy plotting script
fig_fwhm_vs_energy,single_beam,PBP,single_beam,100,0.5,,51,5.1,1.8891039619298404,PBP_paperdataset/FWHM5/100MeV/FWHM_singlebeam_100MeV.txt,processed FWHM text file; depth spacing follows legacy plotting script
fig_fwhm_vs_energy,single_beam,PBP,single_beam,100,0.5,,54,5.4,2.0557786622506407,PBP_paperdataset/FWHM5/100MeV/FWHM_singlebeam_100MeV.txt,processed FWHM text file; depth spacing follows legacy plotting script
fig_fwhm_vs_energy,single_beam,PBP,single_beam,100,0.5,,57,5.7,2.231589357489619,PBP_paperdataset/FWHM5/100MeV/FWHM_singlebeam_100MeV.txt,processed FWHM text file; depth spacing follows legacy plotting script
fig_fwhm_vs_energy,single_beam,PBP,single_beam,100,0.5,,60,6.0,2.419507890715231,PBP_paperdataset/FWHM5/100MeV/FWHM_singlebeam_100MeV.txt,processed FWHM text file; depth spacing follows legacy plotting script
fig_fwhm_vs_energy,single_beam,PBP,single_beam,100,0.5,,63,6.3,2.617606255841275,PBP_paperdataset/FWHM5/100MeV/FWHM_singlebeam_100MeV.txt,processed FWHM text file; depth spacing follows legacy plotting script
fig_fwhm_vs_energy,single_beam,PBP,single_beam,100,0.5,,66,6.6,2.831189885730251,PBP_paperdataset/FWHM5/100MeV/FWHM_singlebeam_100MeV.txt,processed FWHM text file; depth spacing follows legacy plotting script
fig_fwhm_vs_energy,single_beam,PBP,single_beam,100,0.5,,69,6.9,3.0532616592999777,PBP_paperdataset/FWHM5/100MeV/FWHM_singlebeam_100MeV.txt,processed FWHM text file; depth spacing follows legacy plotting script
fig_fwhm_vs_energy,single_beam,PBP,single_beam,100,0.5,,72,7.2,3.2965813563789714,PBP_paperdataset/FWHM5/100MeV/FWHM_singlebeam_100MeV.txt,processed FWHM text file; depth spacing follows legacy plotting script
fig_fwhm_vs_energy,single_beam,PBP,single_beam,100,0.5,,75,7.5,3.5297581875347723,PBP_paperdataset/FWHM5/100MeV/FWHM_singlebeam_100MeV.txt,processed FWHM text file; depth spacing follows legacy plotting script
fig_fwhm_vs_energy,single_beam,PBP,single_beam,100,0.5,,78,7.8,3.6343311739186106,PBP_paperdataset/FWHM5/100MeV/FWHM_singlebeam_100MeV.txt,processed FWHM text file; depth spacing follows legacy plotting script
fig_fwhm_vs_energy,single_beam,PBP,single_beam,125,0.5,,0,0.0,0.514112720482645,PBP_paperdataset/FWHM5/125MeV/FWHM_singlebeam_125MeV.txt,processed FWHM text file; depth spacing follows legacy plotting script
fig_fwhm_vs_energy,single_beam,PBP,single_beam,125,0.5,,3,0.3,0.5160643462026162,PBP_paperdataset/FWHM5/125MeV/FWHM_singlebeam_125MeV.txt,processed FWHM text file; depth spacing follows legacy plotting script
fig_fwhm_vs_energy,single_beam,PBP,single_beam,125,0.5,,6,0.6,0.5216682006242758,PBP_paperdataset/FWHM5/125MeV/FWHM_singlebeam_125MeV.txt,processed FWHM text file; depth spacing follows legacy plotting script
fig_fwhm_vs_energy,single_beam,PBP,single_beam,125,0.5,,9,0.9,0.5324459618903541,PBP_paperdataset/FWHM5/125MeV/FWHM_singlebeam_125MeV.txt,processed FWHM text file; depth spacing follows legacy plotting script
fig_fwhm_vs_energy,single_beam,PBP,single_beam,125,0.5,,12,1.2,0.5499878742382034,PBP_paperdataset/FWHM5/125MeV/FWHM_singlebeam_125MeV.txt,processed FWHM text file; depth spacing follows legacy plotting script
fig_fwhm_vs_energy,single_beam,PBP,single_beam,125,0.5,,15,1.5,0.5752918321821557,PBP_paperdataset/FWHM5/125MeV/FWHM_singlebeam_125MeV.txt,processed FWHM text file; depth spacing follows legacy plotting script
fig_fwhm_vs_energy,single_beam,PBP,single_beam,125,0.5,,18,1.8,0.6094472442720112,PBP_paperdataset/FWHM5/125MeV/FWHM_singlebeam_125MeV.txt,processed FWHM text file; depth spacing follows legacy plotting script
fig_fwhm_vs_energy,single_beam,PBP,single_beam,125,0.5,,21,2.1,0.6523910260546215,PBP_paperdataset/FWHM5/125MeV/FWHM_singlebeam_125MeV.txt,processed FWHM text file; depth spacing follows legacy plotting script
fig_fwhm_vs_energy,single_beam,PBP,single_beam,125,0.5,,24,2.4,0.7043076389455812,PBP_paperdataset/FWHM5/125MeV/FWHM_singlebeam_125MeV.txt,processed FWHM text file; depth spacing follows legacy plotting script
fig_fwhm_vs_energy,single_beam,PBP,single_beam,125,0.5,,27,2.7,0.765129628641131,PBP_paperdataset/FWHM5/125MeV/FWHM_singlebeam_125MeV.txt,processed FWHM text file; depth spacing follows legacy plotting script
fig_fwhm_vs_energy,single_beam,PBP,single_beam,125,0.5,,30,3.0,0.8343587368438211,PBP_paperdataset/FWHM5/125MeV/FWHM_singlebeam_125MeV.txt,processed FWHM text file; depth spacing follows legacy plotting script
fig_fwhm_vs_energy,single_beam,PBP,single_beam,125,0.5,,33,3.3,0.9117348513672738,PBP_paperdataset/FWHM5/125MeV/FWHM_singlebeam_125MeV.txt,processed FWHM text file; depth spacing follows legacy plotting script
fig_fwhm_vs_energy,single_beam,PBP,single_beam,125,0.5,,36,3.6,0.9966017344849972,PBP_paperdataset/FWHM5/125MeV/FWHM_singlebeam_125MeV.txt,processed FWHM text file; depth spacing follows legacy plotting script
fig_fwhm_vs_energy,single_beam,PBP,single_beam,125,0.5,,39,3.9,1.0887854574007283,PBP_paperdataset/FWHM5/125MeV/FWHM_singlebeam_125MeV.txt,processed FWHM text file; depth spacing follows legacy plotting script
fig_fwhm_vs_energy,single_beam,PBP,single_beam,125,0.5,,42,4.2,1.1876726531503636,PBP_paperdataset/FWHM5/125MeV/FWHM_singlebeam_125MeV.txt,processed FWHM text file; depth spacing follows legacy plotting script
fig_fwhm_vs_energy,single_beam,PBP,single_beam,125,0.5,,45,4.5,1.2923167859192728,PBP_paperdataset/FWHM5/125MeV/FWHM_singlebeam_125MeV.txt,processed FWHM text file; depth spacing follows legacy plotting script
fig_fwhm_vs_energy,single_beam,PBP,single_beam,125,0.5,,48,4.8,1.403388086143379,PBP_paperdataset/FWHM5/125MeV/FWHM_singlebeam_125MeV.txt,processed FWHM text file; depth spacing follows legacy plotting script
fig_fwhm_vs_energy,single_beam,PBP,single_beam,125,0.5,,51,5.1,1.5208610690264919,PBP_paperdataset/FWHM5/125MeV/FWHM_singlebeam_125MeV.txt,processed FWHM text file; depth spacing follows legacy plotting script
fig_fwhm_vs_energy,single_beam,PBP,single_beam,125,0.5,,54,5.4,1.6432360850210235,PBP_paperdataset/FWHM5/125MeV/FWHM_singlebeam_125MeV.txt,processed FWHM text file; depth spacing follows legacy plotting script
fig_fwhm_vs_energy,single_beam,PBP,single_beam,125,0.5,,57,5.7,1.7707614268054426,PBP_paperdataset/FWHM5/125MeV/FWHM_singlebeam_125MeV.txt,processed FWHM text file; depth spacing follows legacy plotting script
fig_fwhm_vs_energy,single_beam,PBP,single_beam,125,0.5,,60,6.0,1.904256363660819,PBP_paperdataset/FWHM5/125MeV/FWHM_singlebeam_125MeV.txt,processed FWHM text file; depth spacing follows legacy plotting script
fig_fwhm_vs_energy,single_beam,PBP,single_beam,125,0.5,,63,6.3,2.041610758324808,PBP_paperdataset/FWHM5/125MeV/FWHM_singlebeam_125MeV.txt,processed FWHM text file; depth spacing follows legacy plotting script
fig_fwhm_vs_energy,single_beam,PBP,single_beam,125,0.5,,66,6.6,2.1855308208330824,PBP_paperdataset/FWHM5/125MeV/FWHM_singlebeam_125MeV.txt,processed FWHM text file; depth spacing follows legacy plotting script
fig_fwhm_vs_energy,single_beam,PBP,single_beam,125,0.5,,69,6.9,2.336069944124107,PBP_paperdataset/FWHM5/125MeV/FWHM_singlebeam_125MeV.txt,processed FWHM text file; depth spacing follows legacy plotting script
fig_fwhm_vs_energy,single_beam,PBP,single_beam,125,0.5,,72,7.2,2.489920938986297,PBP_paperdataset/FWHM5/125MeV/FWHM_singlebeam_125MeV.txt,processed FWHM text file; depth spacing follows legacy plotting script
fig_fwhm_vs_energy,single_beam,PBP,single_beam,125,0.5,,75,7.5,2.653607761237107,PBP_paperdataset/FWHM5/125MeV/FWHM_singlebeam_125MeV.txt,processed FWHM text file; depth spacing follows legacy plotting script
fig_fwhm_vs_energy,single_beam,PBP,single_beam,125,0.5,,78,7.8,2.8170379995475563,PBP_paperdataset/FWHM5/125MeV/FWHM_singlebeam_125MeV.txt,processed FWHM text file; depth spacing follows legacy plotting script
fig_fwhm_vs_energy,single_beam,PBP,single_beam,125,0.5,,81,8.1,2.987647421252859,PBP_paperdataset/FWHM5/125MeV/FWHM_singlebeam_125MeV.txt,processed FWHM text file; depth spacing follows legacy plotting script
fig_fwhm_vs_energy,single_beam,PBP,single_beam,125,0.5,,84,8.4,3.1640728248298173,PBP_paperdataset/FWHM5/125MeV/FWHM_singlebeam_125MeV.txt,processed FWHM text file; depth spacing follows legacy plotting script
fig_fwhm_vs_energy,single_beam,PBP,single_beam,125,0.5,,87,8.7,3.3446012011142385,PBP_paperdataset/FWHM5/125MeV/FWHM_singlebeam_125MeV.txt,processed FWHM text file; depth spacing follows legacy plotting script
fig_fwhm_vs_energy,single_beam,PBP,single_beam,125,0.5,,90,9.0,3.5356454213940265,PBP_paperdataset/FWHM5/125MeV/FWHM_singlebeam_125MeV.txt,processed FWHM text file; depth spacing follows legacy plotting script
fig_fwhm_vs_energy,single_beam,PBP,single_beam,125,0.5,,93,9.3,3.7290241208357076,PBP_paperdataset/FWHM5/125MeV/FWHM_singlebeam_125MeV.txt,processed FWHM text file; depth spacing follows legacy plotting script
fig_fwhm_vs_energy,single_beam,PBP,single_beam,125,0.5,,96,9.6,3.9286290017129946,PBP_paperdataset/FWHM5/125MeV/FWHM_singlebeam_125MeV.txt,processed FWHM text file; depth spacing follows legacy plotting script
fig_fwhm_vs_energy,single_beam,PBP,single_beam,125,0.5,,99,9.9,4.1730509134171685,PBP_paperdataset/FWHM5/125MeV/FWHM_singlebeam_125MeV.txt,processed FWHM text file; depth spacing follows legacy plotting script
fig_fwhm_vs_energy,single_beam,PBP,single_beam,125,0.5,,102,10.2,4.362331799781982,PBP_paperdataset/FWHM5/125MeV/FWHM_singlebeam_125MeV.txt,processed FWHM text file; depth spacing follows legacy plotting script
fig_fwhm_vs_energy,single_beam,PBP,single_beam,125,0.5,,105,10.5,4.601850845532065,PBP_paperdataset/FWHM5/125MeV/FWHM_singlebeam_125MeV.txt,processed FWHM text file; depth spacing follows legacy plotting script
fig_fwhm_vs_energy,single_beam,PBP,single_beam,125,0.5,,108,10.8,4.884060312954533,PBP_paperdataset/FWHM5/125MeV/FWHM_singlebeam_125MeV.txt,processed FWHM text file; depth spacing follows legacy plotting script
fig_fwhm_vs_energy,single_beam,PBP,single_beam,125,0.5,,111,11.1,5.09232031954194,PBP_paperdataset/FWHM5/125MeV/FWHM_singlebeam_125MeV.txt,processed FWHM text file; depth spacing follows legacy plotting script
fig_fwhm_vs_energy,single_beam,PBP,single_beam,125,0.5,,114,11.4,5.245921058579241,PBP_paperdataset/FWHM5/125MeV/FWHM_singlebeam_125MeV.txt,processed FWHM text file; depth spacing follows legacy plotting script
fig_fwhm_vs_energy,single_beam,PBP,single_beam,150,0.5,,0,0.0,0.5151410223210434,PBP_paperdataset/FWHM5/150MeV/FWHM_singlebeam_150MeV.txt,processed FWHM text file; depth spacing follows legacy plotting script
fig_fwhm_vs_energy,single_beam,PBP,single_beam,150,0.5,,3,0.3,0.5167969237610678,PBP_paperdataset/FWHM5/150MeV/FWHM_singlebeam_150MeV.txt,processed FWHM text file; depth spacing follows legacy plotting script
fig_fwhm_vs_energy,single_beam,PBP,single_beam,150,0.5,,6,0.6,0.5212075607427449,PBP_paperdataset/FWHM5/150MeV/FWHM_singlebeam_150MeV.txt,processed FWHM text file; depth spacing follows legacy plotting script
fig_fwhm_vs_energy,single_beam,PBP,single_beam,150,0.5,,9,0.9,0.5296766036436635,PBP_paperdataset/FWHM5/150MeV/FWHM_singlebeam_150MeV.txt,processed FWHM text file; depth spacing follows legacy plotting script
fig_fwhm_vs_energy,single_beam,PBP,single_beam,150,0.5,,12,1.2,0.5431871776075685,PBP_paperdataset/FWHM5/150MeV/FWHM_singlebeam_150MeV.txt,processed FWHM text file; depth spacing follows legacy plotting script
fig_fwhm_vs_energy,single_beam,PBP,single_beam,150,0.5,,15,1.5,0.5628049664343708,PBP_paperdataset/FWHM5/150MeV/FWHM_singlebeam_150MeV.txt,processed FWHM text file; depth spacing follows legacy plotting script
fig_fwhm_vs_energy,single_beam,PBP,single_beam,150,0.5,,18,1.8,0.5888763836709497,PBP_paperdataset/FWHM5/150MeV/FWHM_singlebeam_150MeV.txt,processed FWHM text file; depth spacing follows legacy plotting script
fig_fwhm_vs_energy,single_beam,PBP,single_beam,150,0.5,,21,2.1,0.6219966025595295,PBP_paperdataset/FWHM5/150MeV/FWHM_singlebeam_150MeV.txt,processed FWHM text file; depth spacing follows legacy plotting script
fig_fwhm_vs_energy,single_beam,PBP,single_beam,150,0.5,,24,2.4,0.6622377337910377,PBP_paperdataset/FWHM5/150MeV/FWHM_singlebeam_150MeV.txt,processed FWHM text file; depth spacing follows legacy plotting script
fig_fwhm_vs_energy,single_beam,PBP,single_beam,150,0.5,,27,2.7,0.7092800641447803,PBP_paperdataset/FWHM5/150MeV/FWHM_singlebeam_150MeV.txt,processed FWHM text file; depth spacing follows legacy plotting script
fig_fwhm_vs_energy,single_beam,PBP,single_beam,150,0.5,,30,3.0,0.7635786205799093,PBP_paperdataset/FWHM5/150MeV/FWHM_singlebeam_150MeV.txt,processed FWHM text file; depth spacing follows legacy plotting script
