setup,energy_MeV,bw_mm,ctc_mm,target_depth_mm,target_depth_cm,PVDR_target,PVDR_entrance,BEDR,BEDR_threshold_flag,FWHM_entrance_mm,FWHM_target_mm,target_homogeneity,homogeneity_code,relative_std_at_target,source_files,notes
PBP_1D_array,50,0.5,1.0,21,2.1,,,,,0.47865853517008633,0.5013310167731646,1,1,,PBP_paperdataset/FWHM5/dose_min_max_1Darray_dictionary.txt;PBP_paperdataset/FWHM5/FWHM_1Darray_ctc10_50MeV.txt,PVDR source files in this subset are labeled 2Darray
PBP_1D_array,50,0.5,1.2,21,2.1,,,,,,,0,0,,PBP_paperdataset/FWHM5/dose_min_max_1Darray_dictionary.txt,PVDR source files in this subset are labeled 2Darray
PBP_1D_array,50,0.5,1.4,21,2.1,,,,,,,0,0,,PBP_paperdataset/FWHM5/dose_min_max_1Darray_dictionary.txt,PVDR source files in this subset are labeled 2Darray
PBP_1D_array,50,0.5,1.6,21,2.1,,,,1,,,0,0,,PBP_paperdataset/FWHM5/dose_min_max_1Darray_dictionary.txt;PBP_paperdataset/FWHM5/dose_BEDR_1Darray_dictionary.txt,"PVDR source files in this subset are labeled 2Darray; BEDR source provides threshold flag only, not numeric BEDR"
PBP_1D_array,50,0.5,1.8,21,2.1,,,,1,,,0,0,,PBP_paperdataset/FWHM5/dose_min_max_1Darray_dictionary.txt;PBP_paperdataset/FWHM5/dose_BEDR_1Darray_dictionary.txt,"PVDR source files in this subset are labeled 2Darray; BEDR source provides threshold flag only, not numeric BEDR"
PBP_1D_array,50,0.5,2.0,21,2.1,,,,1,,,0,0,,PBP_paperdataset/FWHM5/dose_min_max_1Darray_dictionary.txt;PBP_paperdataset/FWHM5/dose_BEDR_1Darray_dictionary.txt,"PVDR source files in this subset are labeled 2Darray; BEDR source provides threshold flag only, not numeric BEDR"
PBP_1D_array,50,0.5,2.2,21,2.1,,,,1,,,0,0,,PBP_paperdataset/FWHM5/dose_min_max_1Darray_dictionary.txt;PBP_paperdataset/FWHM5/dose_BEDR_1Darray_dictionary.txt,"PVDR source files in this subset are labeled 2Darray; BEDR source provides threshold flag only, not numeric BEDR"
PBP_1D_array,50,0.5,2.4,21,2.1,,,,1,,,0,0,,PBP_paperdataset/FWHM5/dose_min_max_1Darray_dictionary.txt;PBP_paperdataset/FWHM5/dose_BEDR_1Darray_dictionary.txt,"PVDR source files in this subset are labeled 2Darray; BEDR source provides threshold flag only, not numeric BEDR"
PBP_1D_array,50,0.5,2.6,21,2.1,,,,,,,0,0,,PBP_paperdataset/FWHM5/dose_min_max_1Darray_dictionary.txt,PVDR source files in this subset are labeled 2Darray
PBP_1D_array,50,0.5,2.8,21,2.1,,,,,,,0,0,,PBP_paperdataset/FWHM5/dose_min_max_1Darray_dictionary.txt,PVDR source files in this subset are labeled 2Darray
PBP_1D_array,50,0.5,3.0,21,2.1,,,,,,,0,0,,PBP_paperdataset/FWHM5/dose_min_max_1Darray_dictionary.txt,PVDR source files in this subset are labeled 2Darray
PBP_1D_array,50,0.5,3.2,21,2.1,,,,,,,0,0,,PBP_paperdataset/FWHM5/dose_min_max_1Darray_dictionary.txt,PVDR source files in this subset are labeled 2Darray
PBP_1D_array,50,0.5,3.4,21,2.1,,,,,,,0,0,,PBP_paperdataset/FWHM5/dose_min_max_1Darray_dictionary.txt,PVDR source files in this subset are labeled 2Darray
PBP_1D_array,50,0.5,3.6,21,2.1,,,,,,,0,0,,PBP_paperdataset/FWHM5/dose_min_max_1Darray_dictionary.txt,PVDR source files in this subset are labeled 2Darray
