figure,panel,role,profile_type,bw_mm,energy_mev,ctc_mm,required_path,status,notes
Figure 1,,3 x bw,peak,0.5,50,1.5,data/processed_data/PBP_dataset/FWHM5/50MeV/zpeak_1Darray_ctc15_50MeV.txt,PRESENT,Figure 1 pMBRT PDD case exported from read-only USB PBP raw dose output
Figure 1,,5 x bw,peak,0.5,50,2.5,data/processed_data/PBP_dataset/FWHM5/50MeV/zpeak_1Darray_ctc25_50MeV.txt,PRESENT,Figure 1 pMBRT PDD case exported from read-only USB PBP raw dose output
Figure 1,,3 x bw,peak,0.5,125,1.5,data/processed_data/PBP_dataset/FWHM5/125MeV/zpeak_1Darray_ctc15_125MeV.txt,PRESENT,Figure 1 pMBRT PDD case exported from read-only USB PBP raw dose output
Figure 1,,5 x bw,peak,0.5,125,2.5,data/processed_data/PBP_dataset/FWHM5/125MeV/zpeak_1Darray_ctc25_125MeV.txt,PRESENT,Figure 1 pMBRT PDD case exported from read-only USB PBP raw dose output
Figure 1,,3 x bw,peak,0.5,175,1.5,data/processed_data/PBP_dataset/FWHM5/175MeV/zpeak_1Darray_ctc15_175MeV.txt,PRESENT,Figure 1 pMBRT PDD case exported from read-only USB PBP raw dose output
Figure 1,,5 x bw,peak,0.5,175,2.5,data/processed_data/PBP_dataset/FWHM5/175MeV/zpeak_1Darray_ctc25_175MeV.txt,PRESENT,Figure 1 pMBRT PDD case exported from read-only USB PBP raw dose output
Figure 1,,3 x bw,peak,0.5,230,1.5,data/processed_data/PBP_dataset/FWHM5/230MeV/zpeak_1Darray_ctc15_230MeV.txt,PRESENT,Figure 1 pMBRT PDD case exported from read-only USB PBP raw dose output
Figure 1,,5 x bw,peak,0.5,230,2.5,data/processed_data/PBP_dataset/FWHM5/230MeV/zpeak_1Darray_ctc25_230MeV.txt,PRESENT,Figure 1 pMBRT PDD case exported from read-only USB PBP raw dose output
Figure 1,,3 x bw,peak,1,50,3,data/processed_data/PBP_dataset/FWHM10/50MeV/zpeak_1Darray_ctc30_50MeV.txt,PRESENT,Figure 1 pMBRT PDD case exported from read-only USB PBP raw dose output
Figure 1,,5 x bw,peak,1,50,5,data/processed_data/PBP_dataset/FWHM10/50MeV/zpeak_1Darray_ctc50_50MeV.txt,PRESENT,Figure 1 pMBRT PDD case exported from read-only USB PBP raw dose output
